0.0000;	38.4492;	-1.0000;	0;	
185.8623;	189.8282;	188.4492;	2;	187.5389  189.7057  190.2909  190.5944  190.6534  191.0657  194.2386  200.5688  201.5977  
187.5389;	189.8282;	188.4492;	2;	189.7057  189.9576  190.2909  190.5944  190.6534  191.0657  194.2386  200.5688  201.5977  
188.4492;	189.8282;	198.4492;	1;	189.7057  189.9576  190.2909  190.5944  190.6534  191.0657  194.2386  200.5688  201.5977  
189.7057;	189.8282;	198.4492;	2;	189.9576  190.2909  190.5944  190.6534  191.0657  194.2386  200.5688  201.5977  
189.8282;	198.4323;	198.4492;	2;	189.9576  190.2909  190.5944  190.6534  191.0657  192.5170  194.2386  200.5688  201.5977  
189.9576;	198.4323;	198.4492;	2;	190.1456  190.2909  190.5944  190.6534  191.0657  192.5170  194.2386  200.5688  201.5977  
190.1456;	198.4323;	198.4492;	2;	190.2909  190.5259  190.5944  190.6534  191.0657  192.5170  194.2386  200.5688  201.5977  
190.2909;	198.4323;	198.4492;	2;	190.5259  190.5944  190.6534  191.0657  192.5170  194.2386  198.6982  200.5688  201.5977  
190.5259;	198.4323;	198.4492;	2;	190.5944  190.6534  191.0657  192.5170  194.2386  198.6982  200.5688  201.5977  202.0874  
190.5944;	198.4323;	198.4492;	2;	190.6534  191.0657  192.5170  194.2386  195.6900  198.6982  200.5688  201.5977  202.0874  
190.6534;	198.4323;	198.4492;	2;	191.0657  191.4530  192.5170  194.2386  195.6900  198.6982  200.5688  201.5977  202.0874  
191.0657;	198.4323;	198.4492;	2;	191.4530  192.5170  194.2386  195.6900  198.6982  198.8378  200.5688  201.5977  202.0874  
191.4530;	198.4323;	198.4492;	2;	192.5170  194.2386  195.6900  198.6982  198.8378  200.5688  201.1326  201.5977  202.0874  
192.5170;	198.4323;	198.4492;	2;	194.2386  195.6900  198.6982  198.7690  198.8378  200.5688  201.1326  201.5977  202.0874  
194.2386;	198.4323;	198.4492;	2;	195.6900  196.6237  198.6982  198.7690  198.8378  200.5688  201.1326  201.5977  202.0874  
195.6900;	198.4323;	198.4492;	2;	196.6237  198.6982  198.7690  198.8378  200.5688  201.1326  201.5977  202.0874  207.9587  
196.6237;	198.4323;	198.4492;	2;	198.6982  198.7690  198.8378  199.7313  200.5688  201.1326  201.5977  202.0874  207.9587  
198.4323;	204.1174;	198.4492;	2;	198.6982  198.7690  198.8378  199.7313  200.5688  201.1326  201.5977  202.0290  202.0874  207.9587  
198.4492;	204.1174;	208.4492;	1;	198.6982  198.7690  198.8378  199.7313  200.5688  201.1326  201.5977  202.0290  202.0874  207.9587  
198.6982;	204.1174;	208.4492;	2;	198.7690  198.8378  199.7313  200.5688  201.1326  201.5977  202.0290  202.0874  207.9587  
198.7690;	204.1174;	208.4492;	2;	198.8378  199.0470  199.7313  200.5688  201.1326  201.5977  202.0290  202.0874  207.9587  
198.8378;	204.1174;	208.4492;	2;	199.0470  199.7313  200.5688  200.8596  201.1326  201.5977  202.0290  202.0874  207.9587  
199.0470;	204.1174;	208.4492;	2;	199.7313  200.5688  200.8596  201.1326  201.5758  201.5977  202.0290  202.0874  207.9587  
199.7314;	204.1174;	208.4492;	2;	200.5688  200.7636  200.8596  201.1326  201.5758  201.5977  202.0290  202.0874  207.9587  
